"Time","Value 1","amazonec2machines","amazonec2machinetemplates","azuremachines","azuremachinetemplates","clusters","digitaloceanmachines","digitaloceanmachinetemplates","harvesterconfigs","harvestermachines","harvestermachinetemplates","linodemachines","linodemachinetemplates","machinedeployments","machinehealthchecks","machines","machinesets","vmwarevspheremachines","vmwarevspheremachinetemplates"
2023-03-11 08:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 08:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 08:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 08:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 08:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 08:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 09:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 09:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 09:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 09:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 09:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 09:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 10:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 10:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 10:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 10:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 10:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 10:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 11:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 11:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 11:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 11:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 11:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 11:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 12:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 12:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 12:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 12:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 12:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 12:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 13:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 13:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 13:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 13:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 13:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 13:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 14:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 14:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 14:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 14:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 14:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 14:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 15:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 15:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 15:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 15:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 15:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 15:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 16:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 16:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 16:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 16:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 16:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 16:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 17:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 17:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 17:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 17:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
2023-03-11 17:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 17:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 18:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 18:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 18:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 18:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 18:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 18:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 19:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 19:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 19:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 19:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 19:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 19:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 20:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 20:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 20:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 20:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 20:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 20:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 21:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 21:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 21:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 21:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 21:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 21:50:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 22:00:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 22:10:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 22:20:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 22:30:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 22:40:00,0,,,,,,,,,,,,,,,,,,
2023-03-11 22:50:00,0,,,,,,,,,,,,,,,,,,
