"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tetragon-f6gwj","tetragon-q8cvh","tetragon-qtv2z","tiefighter","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-16 18:00:00,175,37.2,19,301,0,212,161,141,164306,120963,145497,150514,338,132,463,128,456,132,128,130,442,130,453,129,129,0,0,0,0,0,4450,4636,430,2649,104,84.4,0,65.9,64.7,68.2,66.2,66.2,67.9,4.36,1862,1803,32.5,31.5,0,0.233,0,0,1850,1948,1899,0,1900,38.5,19.9,299,64238,40682,159541,122013,155096,18791,3.79,4.89,13217,6860,7031,156,1533,335,22637,154310,170001,121681,1558,0.360,0.233,0,0,0.233,178602,118527,154405,0,181,0,583,275,0
2023-03-16 18:02:00,175,37.2,19,301,0,212,161,141,164306,120963,145497,150514,338,132,463,128,456,132,128,130,442,130,453,129,129,0,0,0,0,0,4450,4636,430,2649,104,84.4,0,65.9,64.7,68.2,66.2,66.2,67.9,4.36,1862,1803,32.5,31.5,0,0.233,0,0,1850,1948,1899,0,1900,38.5,19.9,299,64238,40682,159541,122013,155096,18791,3.79,4.89,13217,6860,7031,156,1533,335,22637,154310,170001,121681,1558,0.360,0.233,0,0,0.233,178602,118527,154405,0,181,0,583,275,0
2023-03-16 18:04:00,175,37.2,19,301,0,212,161,141,164306,120963,145497,150514,338,132,463,128,456,132,128,130,442,130,453,129,129,0,0,0,0,0,4450,4636,430,2649,104,84.4,0,65.9,64.7,68.2,66.2,66.2,67.9,4.36,1862,1803,32.5,31.5,0,0.233,0,0,1850,1948,1899,0,1900,38.5,19.9,299,64238,40682,159541,122013,155096,18791,3.79,4.89,13217,6860,7031,156,1533,335,22637,154310,170001,121681,1558,0.360,0.233,0,0,0.233,178602,118527,154405,0,181,0,583,275,0
2023-03-16 18:06:00,179,334,190,429,37.2,231,160,151,183611,153981,190636,192426,380,131,447,134,455,129,122,126,457,130,476,132,132,0,0,0,0,0.233,17982,4543,1229,2630,78.4,88.3,0,65.9,68.6,64.6,63.4,64.3,62.5,4.72,1917,1867,71.2,31.7,0,0,0.233,0,1933,1830,1878,0,1867,38.5,19,302,62825,40680,184092,152285,188126,16254,3.67,4.36,13826,7195,6715,109,1511,179,22521,188924,179901,153257,1559,27.0,0,0,0.233,0,178602,118527,154405,0,13220,0,583,284,0
2023-03-16 18:08:00,179,334,190,429,37.2,231,160,151,183611,153981,190636,192426,380,131,447,134,455,129,122,126,457,130,476,132,132,0,0,0,0,0.233,17982,4543,1229,2630,78.4,88.3,0,65.9,68.6,64.6,63.4,64.3,62.5,4.72,1917,1867,71.2,31.7,0,0,0.233,0,1933,1830,1878,0,1867,38.5,19,302,62825,40680,184092,152285,188126,16254,3.67,4.36,13826,7195,6715,109,1511,179,22521,188924,179901,153257,1559,27.0,0,0,0.233,0,178602,118527,154405,0,13220,0,583,284,0
2023-03-16 18:10:00,171,39.8,19,302,0,225,173,140,168055,120530,153956,149272,351,125,439,125,421,125,132,126,435,120,467,132,125,0,0,0,0,0,5683,4507,420,2545,104,86.9,0,65.0,64.5,65.6,67.4,64.5,65.5,6.06,1775,1860,31.8,32.3,0,0,0,0,1855,1870,1913,0,1798,38.5,18.4,317,68468,40698,167476,122186,151293,15623,4.60,4.49,14540,6964,7194,154,1543,330,21774,151352,166333,121253,1552,0.360,0,0,0,0,178602,118527,154405,0,172,0,613,258,0
2023-03-16 18:12:00,171,39.8,19,302,0,225,173,140,168055,120530,153956,149272,351,125,439,125,421,125,132,126,435,120,467,132,125,0,0,0,0,0,5683,4507,420,2545,104,86.9,0,65.0,64.5,65.6,67.4,64.5,65.5,6.06,1775,1860,31.8,32.3,0,0,0,0,1855,1870,1913,0,1798,38.5,18.4,317,68468,40698,167476,122186,151293,15623,4.60,4.49,14540,6964,7194,154,1543,330,21774,151352,166333,121253,1552,0.360,0,0,0,0,178602,118527,154405,0,172,0,613,258,0
2023-03-16 18:14:00,171,39.8,19,302,0,225,173,140,168055,120530,153956,149272,351,125,439,125,421,125,132,126,435,120,467,132,125,0,0,0,0,0,5683,4507,420,2545,104,86.9,0,65.0,64.5,65.6,67.4,64.5,65.5,6.06,1775,1860,31.8,32.3,0,0,0,0,1855,1870,1913,0,1798,38.5,18.4,317,68468,40698,167476,122186,151293,15623,4.60,4.49,14540,6964,7194,154,1543,330,21774,151352,166333,121253,1552,0.360,0,0,0,0,178602,118527,154405,0,172,0,613,258,0
2023-03-16 18:16:00,178,383,197,427,37.2,219,155,152,168255,156127,187674,187374,365,128,465,118,454,125,119,120,459,120,478,122,125,0,0,0,0,0,4365,4627,1201,2629,77.2,88.1,0,64.4,70.0,66.4,66.2,67.4,67.4,4,1838,1885,32.9,33.4,0,0,0,0,1807,1874,1868,0,1977,37.2,18.4,313,62229,40680,170601,155369,190758,18799,3.99,4.97,13896,6969,7149,106,1631,334,22276,187461,167452,151621,1502,22.8,0,0,0,0,178602,118527,154405,0,13152,0,573,270,0
2023-03-16 18:18:00,178,383,197,427,37.2,219,155,152,168255,156127,187674,187374,365,128,465,118,454,125,119,120,459,120,478,122,125,0,0,0,0,0,4365,4627,1201,2629,77.2,88.1,0,64.4,70.0,66.4,66.2,67.4,67.4,4,1838,1885,32.9,33.4,0,0,0,0,1807,1874,1868,0,1977,37.2,18.4,313,62229,40680,170601,155369,190758,18799,3.99,4.97,13896,6969,7149,106,1631,334,22276,187461,167452,151621,1502,22.8,0,0,0,0,178602,118527,154405,0,13152,0,573,270,0
