"Time","172.16.66.3:6443"
2023-03-11 08:28:00,1765691392
2023-03-11 08:32:00,1699123200
2023-03-11 08:36:00,1719881728
2023-03-11 08:40:00,1843367936
2023-03-11 08:44:00,1832988672
2023-03-11 08:48:00,1925214208
2023-03-11 08:52:00,1797885952
2023-03-11 08:56:00,1853837312
2023-03-11 09:00:00,1757995008
2023-03-11 09:04:00,1716355072
2023-03-11 09:08:00,1808146432
2023-03-11 09:12:00,1724440576
2023-03-11 09:16:00,1712742400
2023-03-11 09:20:00,1689862144
2023-03-11 09:24:00,1706242048
2023-03-11 09:28:00,1783164928
2023-03-11 09:32:00,1752981504
2023-03-11 09:36:00,1728331776
2023-03-11 09:40:00,1793740800
2023-03-11 09:44:00,1725493248
2023-03-11 09:48:00,1788141568
2023-03-11 09:52:00,1714024448
2023-03-11 09:56:00,1721671680
2023-03-11 10:00:00,1735233536
2023-03-11 10:04:00,1756794880
2023-03-11 10:08:00,1827672064
2023-03-11 10:12:00,1806704640
2023-03-11 10:16:00,1701478400
2023-03-11 10:20:00,1794076672
2023-03-11 10:24:00,1692479488
2023-03-11 10:28:00,1847648256
2023-03-11 10:32:00,1812340736
2023-03-11 10:36:00,1717055488
2023-03-11 10:40:00,1695645696
2023-03-11 10:44:00,1710694400
2023-03-11 10:48:00,1744228352
2023-03-11 10:52:00,1708728320
2023-03-11 10:56:00,1707958272
2023-03-11 11:00:00,1750757376
2023-03-11 11:04:00,1751093248
2023-03-11 11:08:00,1749843968
2023-03-11 11:12:00,1784565760
2023-03-11 11:16:00,1799290880
2023-03-11 11:20:00,1717481472
2023-03-11 11:24:00,1705820160
2023-03-11 11:28:00,1785593856
2023-03-11 11:32:00,1693413376
2023-03-11 11:36:00,1740111872
2023-03-11 11:40:00,1693401088
2023-03-11 11:44:00,1691910144
2023-03-11 11:48:00,1764020224
2023-03-11 11:52:00,1697058816
2023-03-11 11:56:00,1791733760
2023-03-11 12:00:00,1804525568
2023-03-11 12:04:00,1724981248
2023-03-11 12:08:00,1826013184
2023-03-11 12:12:00,1690398720
2023-03-11 12:16:00,1708032000
2023-03-11 12:20:00,1778003968
2023-03-11 12:24:00,1757048832
2023-03-11 12:28:00,1761972224
2023-03-11 12:32:00,1725128704
2023-03-11 12:36:00,1742258176
2023-03-11 12:40:00,1709375488
2023-03-11 12:44:00,1801814016
2023-03-11 12:48:00,1812090880
2023-03-11 12:52:00,1717579776
2023-03-11 12:56:00,1777623040
2023-03-11 13:00:00,1748180992
2023-03-11 13:04:00,1697923072
2023-03-11 13:08:00,1760243712
2023-03-11 13:12:00,1699696640
2023-03-11 13:16:00,1791569920
2023-03-11 13:20:00,1809629184
2023-03-11 13:24:00,1710342144
2023-03-11 13:28:00,1754894336
2023-03-11 13:32:00,1686286336
2023-03-11 13:36:00,1707503616
2023-03-11 13:40:00,1701269504
2023-03-11 13:44:00,1675780096
2023-03-11 13:48:00,1812660224
2023-03-11 13:52:00,1700069376
2023-03-11 13:56:00,1738735616
2023-03-11 14:00:00,1729691648
2023-03-11 14:04:00,1693429760
2023-03-11 14:08:00,1809981440
2023-03-11 14:12:00,1770041344
2023-03-11 14:16:00,1769975808
2023-03-11 14:20:00,1701851136
2023-03-11 14:24:00,1714167808
2023-03-11 14:28:00,1789693952
2023-03-11 14:32:00,1814450176
2023-03-11 14:36:00,1692536832
2023-03-11 14:40:00,1744834560
2023-03-11 14:44:00,1773707264
2023-03-11 14:48:00,1803431936
2023-03-11 14:52:00,1711697920
2023-03-11 14:56:00,1774870528
2023-03-11 15:00:00,1748865024
2023-03-11 15:04:00,1745006592
2023-03-11 15:08:00,1762897920
2023-03-11 15:12:00,1688903680
2023-03-11 15:16:00,1692971008
2023-03-11 15:20:00,1769308160
2023-03-11 15:24:00,1770631168
2023-03-11 15:28:00,1716531200
2023-03-11 15:32:00,1708642304
2023-03-11 15:36:00,1655971840
2023-03-11 15:40:00,1713856512
2023-03-11 15:44:00,1748430848
2023-03-11 15:48:00,1839706112
2023-03-11 15:52:00,1710010368
2023-03-11 15:56:00,1714597888
2023-03-11 16:00:00,1764569088
2023-03-11 16:04:00,1678196736
2023-03-11 16:08:00,1776119808
2023-03-11 16:12:00,1694564352
2023-03-11 16:16:00,1768333312
2023-03-11 16:20:00,1705226240
2023-03-11 16:24:00,1695096832
2023-03-11 16:28:00,1789300736
2023-03-11 16:32:00,1670606848
2023-03-11 16:36:00,1711226880
2023-03-11 16:40:00,1707749376
2023-03-11 16:44:00,1703370752
2023-03-11 16:48:00,1797783552
2023-03-11 16:52:00,1665540096
2023-03-11 16:56:00,1712246784
2023-03-11 17:00:00,1753350144
2023-03-11 17:04:00,1702289408
2023-03-11 17:08:00,1827622912
2023-03-11 17:12:00,1798946816
2023-03-11 17:16:00,1808060416
2023-03-11 17:20:00,1706815488
2023-03-11 17:24:00,1677762560
2023-03-11 17:28:00,1793658880
2023-03-11 17:32:00,1880809472
2023-03-11 17:36:00,1801404416
2023-03-11 17:40:00,1802924032
2023-03-11 17:44:00,1710891008
2023-03-11 17:48:00,1741697024
2023-03-11 17:52:00,1752596480
2023-03-11 17:56:00,1779957760
2023-03-11 18:00:00,1752346624
2023-03-11 18:04:00,1780785152
2023-03-11 18:08:00,1801715712
2023-03-11 18:12:00,1693470720
2023-03-11 18:16:00,1680498688
2023-03-11 18:20:00,1721282560
2023-03-11 18:24:00,1714438144
2023-03-11 18:28:00,1810100224
2023-03-11 18:32:00,1761210368
2023-03-11 18:36:00,1701867520
2023-03-11 18:40:00,1784602624
2023-03-11 18:44:00,1772679168
2023-03-11 18:48:00,1781833728
2023-03-11 18:52:00,1731403776
2023-03-11 18:56:00,1718022144
2023-03-11 19:00:00,1735970816
2023-03-11 19:04:00,1681612800
2023-03-11 19:08:00,1777299456
2023-03-11 19:12:00,1778962432
2023-03-11 19:16:00,1688166400
2023-03-11 19:20:00,1701949440
2023-03-11 19:24:00,1684840448
2023-03-11 19:28:00,1671163904
2023-03-11 19:32:00,1699053568
2023-03-11 19:36:00,1788813312
2023-03-11 19:40:00,1694154752
2023-03-11 19:44:00,1777561600
2023-03-11 19:48:00,1780400128
2023-03-11 19:52:00,1703260160
2023-03-11 19:56:00,1703538688
2023-03-11 20:00:00,1726005248
