"Time","172.16.66.122:6443"
2023-03-11 09:00:00,1796775936
2023-03-11 09:04:00,1820217344
2023-03-11 09:08:00,1947475968
2023-03-11 09:12:00,1848287232
2023-03-11 09:16:00,1862795264
2023-03-11 09:20:00,1738346496
2023-03-11 09:24:00,1732251648
2023-03-11 09:28:00,1818120192
2023-03-11 09:32:00,1738215424
2023-03-11 09:36:00,1738514432
2023-03-11 09:40:00,1839005696
2023-03-11 09:44:00,1833639936
2023-03-11 09:48:00,1728360448
2023-03-11 09:52:00,1754370048
2023-03-11 09:56:00,1881006080
2023-03-11 10:00:00,1851293696
2023-03-11 10:04:00,1706799104
2023-03-11 10:08:00,1731276800
2023-03-11 10:12:00,1722695680
2023-03-11 10:16:00,1817436160
2023-03-11 10:20:00,1824067584
2023-03-11 10:24:00,1704898560
2023-03-11 10:28:00,1828810752
2023-03-11 10:32:00,1713467392
2023-03-11 10:36:00,1844822016
2023-03-11 10:40:00,1830031360
2023-03-11 10:44:00,1734250496
2023-03-11 10:48:00,1781723136
2023-03-11 10:52:00,1792991232
2023-03-11 10:56:00,1837891584
2023-03-11 11:00:00,1776771072
2023-03-11 11:04:00,1817677824
2023-03-11 11:08:00,1822597120
2023-03-11 11:12:00,1837445120
2023-03-11 11:16:00,1811263488
2023-03-11 11:20:00,1696706560
2023-03-11 11:24:00,1730846720
2023-03-11 11:28:00,1743912960
2023-03-11 11:32:00,1770536960
2023-03-11 11:36:00,1857777664
2023-03-11 11:40:00,1818308608
2023-03-11 11:44:00,1715785728
2023-03-11 11:48:00,1720852480
2023-03-11 11:52:00,1780539392
2023-03-11 11:56:00,1829228544
2023-03-11 12:00:00,1754644480
2023-03-11 12:04:00,1761800192
2023-03-11 12:08:00,1714372608
2023-03-11 12:12:00,1784729600
2023-03-11 12:16:00,1858383872
2023-03-11 12:20:00,1719173120
2023-03-11 12:24:00,1729892352
2023-03-11 12:28:00,1809211392
2023-03-11 12:32:00,1825492992
2023-03-11 12:36:00,1839869952
2023-03-11 12:40:00,1728135168
2023-03-11 12:44:00,1793294336
2023-03-11 12:48:00,1801097216
2023-03-11 12:52:00,1776746496
2023-03-11 12:56:00,1851609088
2023-03-11 13:00:00,1745080320
2023-03-11 13:04:00,1707032576
2023-03-11 13:08:00,1714143232
2023-03-11 13:12:00,1712902144
2023-03-11 13:16:00,1860268032
2023-03-11 13:20:00,1732128768
2023-03-11 13:24:00,1696301056
2023-03-11 13:28:00,1758703616
2023-03-11 13:32:00,1787662336
2023-03-11 13:36:00,1838559232
2023-03-11 13:40:00,1816506368
2023-03-11 13:44:00,1715695616
2023-03-11 13:48:00,1717854208
2023-03-11 13:52:00,1795424256
2023-03-11 13:56:00,1873903616
2023-03-11 14:00:00,1817505792
2023-03-11 14:04:00,1723338752
2023-03-11 14:08:00,1702293504
2023-03-11 14:12:00,1775656960
2023-03-11 14:16:00,1848504320
2023-03-11 14:20:00,1812357120
2023-03-11 14:24:00,1686327296
2023-03-11 14:28:00,1810579456
2023-03-11 14:32:00,1818492928
2023-03-11 14:36:00,1771692032
2023-03-11 14:40:00,1702047744
2023-03-11 14:44:00,1687212032
