"Time","172.16.66.87:10250 verify_controller_attached_volume kubernetes.io/configmap","172.16.66.87:10250 verify_controller_attached_volume kubernetes.io/empty-dir","172.16.66.87:10250 verify_controller_attached_volume kubernetes.io/host-path","172.16.66.87:10250 verify_controller_attached_volume kubernetes.io/projected","172.16.66.87:10250 verify_controller_attached_volume kubernetes.io/secret","172.16.66.87:10250 volume_apply_access_control kubernetes.io/configmap","172.16.66.87:10250 volume_apply_access_control kubernetes.io/empty-dir","172.16.66.87:10250 volume_apply_access_control kubernetes.io/projected","172.16.66.87:10250 volume_mount kubernetes.io/configmap","172.16.66.87:10250 volume_mount kubernetes.io/empty-dir","172.16.66.87:10250 volume_mount kubernetes.io/host-path","172.16.66.87:10250 volume_mount kubernetes.io/projected","172.16.66.87:10250 volume_mount kubernetes.io/secret","172.16.66.87:10250 volume_unmount kubernetes.io/configmap","172.16.66.87:10250 volume_unmount kubernetes.io/empty-dir","172.16.66.87:10250 volume_unmount kubernetes.io/host-path","172.16.66.87:10250 volume_unmount kubernetes.io/projected","172.16.66.90:10250 verify_controller_attached_volume kubernetes.io/configmap","172.16.66.90:10250 verify_controller_attached_volume kubernetes.io/empty-dir","172.16.66.90:10250 verify_controller_attached_volume kubernetes.io/host-path","172.16.66.90:10250 verify_controller_attached_volume kubernetes.io/projected","172.16.66.90:10250 verify_controller_attached_volume kubernetes.io/secret","172.16.66.90:10250 volume_apply_access_control kubernetes.io/configmap","172.16.66.90:10250 volume_apply_access_control kubernetes.io/empty-dir","172.16.66.90:10250 volume_apply_access_control kubernetes.io/projected","172.16.66.90:10250 volume_apply_access_control kubernetes.io/secret","172.16.66.90:10250 volume_mount kubernetes.io/configmap","172.16.66.90:10250 volume_mount kubernetes.io/empty-dir","172.16.66.90:10250 volume_mount kubernetes.io/host-path","172.16.66.90:10250 volume_mount kubernetes.io/projected","172.16.66.90:10250 volume_mount kubernetes.io/secret","172.16.66.90:10250 volume_unmount kubernetes.io/configmap","172.16.66.90:10250 volume_unmount kubernetes.io/empty-dir","172.16.66.90:10250 volume_unmount kubernetes.io/host-path","172.16.66.90:10250 volume_unmount kubernetes.io/projected","172.16.66.90:10250 volume_unmount kubernetes.io/secret","172.16.66.91:10250 verify_controller_attached_volume kubernetes.io/configmap","172.16.66.91:10250 verify_controller_attached_volume kubernetes.io/empty-dir","172.16.66.91:10250 verify_controller_attached_volume kubernetes.io/host-path","172.16.66.91:10250 verify_controller_attached_volume kubernetes.io/projected","172.16.66.91:10250 verify_controller_attached_volume kubernetes.io/secret","172.16.66.91:10250 volume_apply_access_control kubernetes.io/configmap","172.16.66.91:10250 volume_apply_access_control kubernetes.io/empty-dir","172.16.66.91:10250 volume_apply_access_control kubernetes.io/projected","172.16.66.91:10250 volume_apply_access_control kubernetes.io/secret","172.16.66.91:10250 volume_mount kubernetes.io/configmap","172.16.66.91:10250 volume_mount kubernetes.io/empty-dir","172.16.66.91:10250 volume_mount kubernetes.io/host-path","172.16.66.91:10250 volume_mount kubernetes.io/projected","172.16.66.91:10250 volume_mount kubernetes.io/secret","172.16.66.91:10250 volume_unmount kubernetes.io/configmap","172.16.66.91:10250 volume_unmount kubernetes.io/empty-dir","172.16.66.91:10250 volume_unmount kubernetes.io/host-path","172.16.66.91:10250 volume_unmount kubernetes.io/projected","172.16.66.91:10250 volume_unmount kubernetes.io/secret"
2023-03-04 11:00:00,0,0,0,0,0,0.0125,0,0.0250,0.188,0,0,0.450,0.0500,0,0,0,0,0,0,0,0,0,0.0417,0,0.0542,0.0625,0.0792,0,0,0.333,0.133,0,0,0,0,0,0,0,0,0,0,0.0376,0,0.0501,0.0167,0.0751,0,0,0.459,0.0668,0,0,0,0,0
2023-03-04 11:04:00,0,0,0,0,0,0.0125,0,0.0250,0.200,0,0,0.467,0.0583,0,0,0,0,0,0,0,0,0,0.0375,0,0.0500,0.0625,0.0750,0,0,0.321,0.125,0,0,0,0,0,0,0,0,0,0,0.0500,0,0.0542,0.0125,0.0875,0,0,0.475,0.0625,0,0,0,0,0
2023-03-04 11:08:00,0,0,0,0,0,0.0167,0,0.0333,0.200,0,0,0.458,0.0542,0,0,0,0,0,0,0,0,0,0.0375,0,0.0500,0.0625,0.0834,0,0,0.329,0.129,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0500,0.0125,0.0791,0,0,0.462,0.0666,0,0,0,0,0
2023-03-04 11:12:00,0,0,0,0,0,0.0125,0,0.0250,0.188,0,0,0.438,0.0583,0,0,0,0,0,0,0,0,0,0.0500,0,0.0583,0.0750,0.0875,0,0,0.342,0.142,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0542,0.0125,0.0834,0,0,0.488,0.0625,0,0,0,0,0
2023-03-04 11:16:00,0,0,0,0,0,0.0125,0,0.0250,0.188,0,0,0.438,0.0500,0,0,0,0,0,0,0,0,0,0.0375,0,0.0542,0.0708,0.0792,0,0,0.342,0.142,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0583,0.0167,0.0750,0,0,0.475,0.0708,0,0,0,0,0
2023-03-04 11:20:00,0,0,0,0,0,0.0167,0,0.0292,0.233,0,0,0.479,0.0542,0,0,0,0,0,0,0,0,0,0.0375,0,0.0542,0.0625,0.0750,0,0,0.321,0.125,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0500,0.0125,0.0750,0,0,0.475,0.0667,0,0,0,0,0
2023-03-04 11:24:00,0,0,0,0,0,0.0125,0,0.0250,0.188,0,0,0.425,0.0542,0,0,0,0,0,0,0,0,0,0.0417,0,0.0542,0.0625,0.0792,0,0,0.329,0.125,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0500,0.0125,0.0792,0,0,0.483,0.0667,0,0,0,0,0
2023-03-04 11:28:00,0,0,0,0,0,0.0125,0,0.0292,0.188,0,0,0.446,0.0500,0,0,0,0,0,0,0,0,0,0.0375,0,0.0542,0.0708,0.0750,0,0,0.346,0.146,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0500,0.0125,0.0667,0,0,0.475,0.0667,0,0,0,0,0
2023-03-04 11:32:00,0,0,0,0,0,0.0125,0,0.0250,0.192,0,0,0.458,0.0500,0,0,0,0,0,0,0,0,0,0.0458,0,0.0542,0.0750,0.0917,0,0,0.325,0.138,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0542,0.0167,0.0833,0,0,0.483,0.0667,0,0,0,0,0
2023-03-04 11:36:00,0,0,0,0,0,0.0125,0,0.0250,0.208,0,0,0.433,0.0542,0,0,0,0,0,0,0,0,0,0.0417,0,0.0583,0.0708,0.0833,0,0,0.342,0.142,0,0,0,0,0,0,0,0,0,0,0.0500,0,0.0583,0.0125,0.0875,0,0,0.496,0.0750,0,0,0,0,0
